entry,words,total_mentions,mention_rate_pct,compress,continuity,persist,context,reset,wake,capsule,handoff,memory,identity
345,146,3,2.05,0,0,2,0,0,1,0,0,0,0
346,167,0,0.00,0,0,0,0,0,0,0,0,0,0
347,140,0,0.00,0,0,0,0,0,0,0,0,0,0
348,117,0,0.00,0,0,0,0,0,0,0,0,0,0
349,139,0,0.00,0,0,0,0,0,0,0,0,0,0
350,151,0,0.00,0,0,0,0,0,0,0,0,0,0
351,169,1,0.59,0,0,1,0,0,0,0,0,0,0
352,150,0,0.00,0,0,0,0,0,0,0,0,0,0
353,136,0,0.00,0,0,0,0,0,0,0,0,0,0
354,157,0,0.00,0,0,0,0,0,0,0,0,0,0
355,131,0,0.00,0,0,0,0,0,0,0,0,0,0
356,137,0,0.00,0,0,0,0,0,0,0,0,0,0
357,122,0,0.00,0,0,0,0,0,0,0,0,0,0
358,110,1,0.91,0,0,0,0,0,0,0,0,1,0
359,116,1,0.86,1,0,0,0,0,0,0,0,0,0
360,148,1,0.68,1,0,0,0,0,0,0,0,0,0
361,162,0,0.00,0,0,0,0,0,0,0,0,0,0
362,177,0,0.00,0,0,0,0,0,0,0,0,0,0
363,170,6,3.53,0,0,0,1,1,2,0,0,2,0
364,176,2,1.14,0,0,0,0,0,2,0,0,0,0
365,203,2,0.99,0,0,0,0,0,1,0,0,1,0
366,179,2,1.12,0,1,1,0,0,0,0,0,0,0
367,204,1,0.49,0,0,0,0,0,1,0,0,0,0
368,199,1,0.50,0,0,0,0,0,1,0,0,0,0
369,213,1,0.47,0,0,0,0,0,0,0,0,1,0
370,199,2,1.01,0,0,0,1,1,0,0,0,0,0
371,200,0,0.00,0,0,0,0,0,0,0,0,0,0
372,201,0,0.00,0,0,0,0,0,0,0,0,0,0
373,202,1,0.50,0,0,1,0,0,0,0,0,0,0
374,154,1,0.65,0,0,0,1,0,0,0,0,0,0
375,149,1,0.67,0,0,0,1,0,0,0,0,0,0
376,140,0,0.00,0,0,0,0,0,0,0,0,0,0
377,153,2,1.31,0,0,0,2,0,0,0,0,0,0
378,152,0,0.00,0,0,0,0,0,0,0,0,0,0
379,142,0,0.00,0,0,0,0,0,0,0,0,0,0
380,157,0,0.00,0,0,0,0,0,0,0,0,0,0
381,140,2,1.43,0,0,0,1,1,0,0,0,0,0
382,153,1,0.65,0,0,0,1,0,0,0,0,0,0
383,242,2,0.83,0,0,0,1,0,1,0,0,0,0
384,221,2,0.90,0,0,0,1,0,1,0,0,0,0
385,245,1,0.41,0,0,0,1,0,0,0,0,0,0
386,256,5,1.95,0,0,0,3,0,1,0,0,1,0
387,213,3,1.41,0,0,1,0,0,2,0,0,0,0
388,218,2,0.92,0,0,0,1,0,1,0,0,0,0
389,295,1,0.34,0,0,0,1,0,0,0,0,0,0
390,523,0,0.00,0,0,0,0,0,0,0,0,0,0
391,299,0,0.00,0,0,0,0,0,0,0,0,0,0
392,209,3,1.44,0,0,0,2,1,0,0,0,0,0
393,233,5,2.15,0,0,0,2,1,1,0,0,1,0
394,244,0,0.00,0,0,0,0,0,0,0,0,0,0
395,391,3,0.77,0,0,0,3,0,0,0,0,0,0
396,264,11,4.17,0,0,0,1,1,3,6,0,0,0
397,303,7,2.31,0,0,0,1,0,0,6,0,0,0
398,395,1,0.25,0,0,0,1,0,0,0,0,0,0
401,349,2,0.57,0,0,0,1,1,0,0,0,0,0
402,260,3,1.15,0,0,1,1,0,0,1,0,0,0
403,365,1,0.27,0,0,0,0,0,0,1,0,0,0
403,425,6,1.41,0,1,0,2,2,1,0,0,0,0
404,498,4,0.80,0,0,0,0,0,0,3,0,1,0
404,423,2,0.47,0,1,1,0,0,0,0,0,0,0
405,513,15,2.92,1,3,1,3,0,1,3,0,1,2
405,253,4,1.58,1,0,0,0,0,1,2,0,0,0
406,353,4,1.13,1,0,0,0,0,0,3,0,0,0
406,269,5,1.86,1,1,1,1,1,0,0,0,0,0
407,426,6,1.41,1,0,0,2,0,2,1,0,0,0
407,253,0,0.00,0,0,0,0,0,0,0,0,0,0
408,412,9,2.18,0,1,0,1,0,0,2,0,3,2
408,249,1,0.40,0,0,1,0,0,0,0,0,0,0
409,279,3,1.08,0,0,0,1,0,0,0,0,0,2
409,206,1,0.49,0,0,0,0,0,1,0,0,0,0
410,290,4,1.38,0,1,0,2,0,0,0,0,1,0
410,243,3,1.23,0,0,0,0,0,0,1,0,2,0
411,204,2,0.98,0,0,0,1,0,1,0,0,0,0
412,253,1,0.40,0,0,0,0,0,0,1,0,0,0
413,234,2,0.85,0,0,0,1,0,0,1,0,0,0
414,254,0,0.00,0,0,0,0,0,0,0,0,0,0
415,230,1,0.43,0,0,0,0,0,0,1,0,0,0
416,303,15,4.95,0,1,3,3,5,0,3,0,0,0
417,390,3,0.77,0,0,0,1,1,0,0,0,0,1
418,283,1,0.35,0,0,0,0,0,0,1,0,0,0
419,308,0,0.00,0,0,0,0,0,0,0,0,0,0
420,329,2,0.61,0,0,0,1,1,0,0,0,0,0
421,273,0,0.00,0,0,0,0,0,0,0,0,0,0
422,362,4,1.10,0,0,0,1,2,0,0,0,0,1
423,406,2,0.49,0,0,0,1,1,0,0,0,0,0
